Run_Number,Maps_Per_Run,Successes,Failures,Success_Rate
1,100,29,71,29.00%
2,100,24,76,24.00%
3,100,27,73,27.00%
4,100,21,79,21.00%
5,100,24,76,24.00%
6,100,28,72,28.00%
7,100,26,74,26.00%
8,100,34,66,34.00%
9,100,22,78,22.00%
10,100,27,73,27.00%
11,100,22,78,22.00%
12,100,35,65,35.00%
13,100,22,78,22.00%
14,100,28,72,28.00%
15,100,24,76,24.00%
16,100,27,73,27.00%
17,100,30,70,30.00%
18,100,31,69,31.00%
19,100,23,77,23.00%
20,100,27,73,27.00%
21,100,23,77,23.00%
22,100,25,75,25.00%
23,100,21,79,21.00%
24,100,26,74,26.00%
25,100,25,75,25.00%
26,100,27,73,27.00%
27,100,20,80,20.00%
28,100,27,73,27.00%
29,100,31,69,31.00%
30,100,28,72,28.00%
31,100,24,76,24.00%
32,100,31,69,31.00%
33,100,22,78,22.00%
34,100,21,79,21.00%
35,100,21,79,21.00%
36,100,24,76,24.00%
37,100,30,70,30.00%
38,100,27,73,27.00%
39,100,27,73,27.00%
40,100,22,78,22.00%
41,100,30,70,30.00%
42,100,24,76,24.00%
43,100,28,72,28.00%
44,100,25,75,25.00%
45,100,26,74,26.00%
46,100,28,72,28.00%
47,100,24,76,24.00%
48,100,20,80,20.00%
49,100,28,72,28.00%
50,100,20,80,20.00%
